PC1	PC2	class
-1.3653606394412263	-0.23598218555330888	1
1.7293451798015032	-0.1163352102326505	0
0.6086295692357881	1.719379407913618	0
-1.7331555935913385	0.3018298261710814	1
-1.471299399976344	0.13848048530821314	1
-1.4674617370375622	-0.14016656705517358	1
-1.6849946567627112	-0.6986327143554099	1
0.6086514655079962	0.6086824427970833	0
-0.7293513381896697	-0.4806431324611647	1
-0.038958962888570405	-0.038927985599483225	0
-1.7483595509122847	0.08900484506058647	1
-0.2725660086476025	0.38705593682086775	1
-0.08003761834350738	0.1188957160564577	1
2.2988133067463608	-0.08620984746555563	0
-1.1433519075372371	-0.5740146791716234	0
-2.559282538334723	0.15638656735818382	1
0.8556398818749924	0.8556708591640795	0
-2.089890770914163	-0.5884328333327055	1
-1.515229890124888	-0.44922815359192303	1
0.26115371733205506	-0.6301304765154628	0
2.5505873843496536	0.3626924334190836	0
-0.6859109087408294	0.07818898446675422	1
-1.417838915931395	-0.07881461785376667	0
1.224628417131652	1.224659394420739	0
-0.9990791918772646	0.32190787560012074	1
-0.900094143426845	0.3602760015415268	1
-1.0173811952317149	-0.014559047850421523	1
1.2767669814544302	1.2767979587435172	0
0.3958085732363595	-0.546236132956105	0
-0.3594162522231362	-1.3213709069470163	0
-0.15745569998579423	-0.15742472269670701	0
-0.517043639757771	0.15785574146500342	1
1.082516520976155	0.8820681155281134	0
2.610596933414246	0.32009675267573545	0
0.22214602128913835	0.2221769985782255	1
-0.5580502209223888	0.1669197239338478	0
0.3695665999644626	-0.8137630270443692	0
-0.5700049729508591	0.14353153611505928	1
1.9877315155136714	0.48061881461522893	0
0.39233807511723084	-0.3826404787942931	0
1.3330674502614173	-0.9429438075359142	0
-1.1355677456060893	0.6931230094224027	1
2.405870608693455	-0.5033164380435594	0
0.3268166190145606	0.7502789769519785	0
-0.6263356090672589	0.39718499965857534	1
2.3064928500569306	0.25737615423642773	0
-1.5172753743994247	0.45462902031296426	1
-0.053788545797327426	0.6181539123762269	1
-1.0200222330715238	-0.14030664863943074	1
1.149338435149338	0.05954614059750469	0
0.7544185262418811	-1.166466273344106	0
0.5766896618262937	0.26959489840304407	0
1.401013246594015	-0.97070375389641	0
-0.7270315012581797	1.5930998645507064	0
-0.5315562375426451	0.3709276543684431	1
0.753562213408228	-0.3724031064457322	0
2.353399281040944	-0.8653776089494237	0
0.2305953538473752	0.23062633113646233	0
-1.3012102513933343	-0.09436041361584784	1
1.1758860918785818	-0.8706679372992634	0
-0.1065907812975679	-0.9181366169177814	0
1.3985627959851021	-0.09415954607380173	1
2.051184390873738	0.1643042063537828	0
-0.8642560645649808	0.3906930548131538	1
2.1635893670143753	0.469007744795373	0
-0.730756114007511	-0.21267221849504686	1
2.890350899572205	-1.6008885425992503	0
0.11803951599478789	-0.4098388351035691	0
1.6473011263254014	1.6473321036144883	0
-0.5219306750594467	0.7477044954631483	0
-0.7568549098989168	-0.5962630110371733	0
1.3636765216622577	-0.9982826327657406	0
-1.3983947765580182	0.020959264356758843	1
-1.2681265380340194	0.6446393956939659	1
-0.8941948168239512	-0.09096497526502038	1
1.2090947605180418	0.9085052278030764	0
-0.6226843476855332	-0.10765593932393006	1
0.5548777574584082	-1.2209206845125085	0
0.33257995778485683	-0.1177284453222906	0
1.030239966257469	-0.7394475014117258	0
0.7847975122109314	-0.8782435974830555	0
-0.6954166243402917	0.01762706421742334	1
-1.410017967130274	-0.25747694935679843	1
-0.7753777280148678	0.659056620450932	1
1.1169859071555166	-1.1116160177526515	0
-1.372767436478316	0.0838438348566351	1
0.8119517032250023	-0.006986440018261672	0
0.8844397410216656	0.8844707183107525	0
-1.2533457958739846	-0.03732949664391604	1
1.5871516762237727	0.6082439960176964	0
1.4144807980895955	1.4145117753786824	0
-2.062263348843131	-0.2562423371919938	1
-0.3578412291892836	0.562285636915485	1
-0.477350498297961	0.3187827279428411	1
-1.3015120884908047	-0.2531533261515201	0
-0.6063246558950242	-0.26703604075874077	0
-1.3487777726158716	0.41101667536578956	1
0.15293096558769181	0.20184973729055258	0
-1.3522764354811034	-0.23886536605897507	1
-1.2484451403993715	0.12211967020327245	1
0.29831220145479753	-1.5430313681071666	0
-0.6236819640216029	-0.9489125221467364	0
-0.35921072091300793	0.3554099932709576	0
-0.8346490860395235	-0.5061039579820736	1
0.18479272246562797	-0.008066247156081716	0
