
A1BG
A1BG-AS1
AAMP
AANAT
AARSD1
AATF
AATK
ABCA11P
ABCA17P
ABCA3
ABCA7
ABCB4
ABCB6
ABCC1
ABCC5
ABCC8
ABCD3
ABCE1
ABCF3
ABHD10
ABHD14A
ABHD14A-ACY1
ABHD14B
ABHD15
ABHD17C
ABHD18
ABHD3
ABHD5
ABHD6
ABI1
ABI2
ABITRAM
ABL1
ABLIM2
ABO
ABRAXAS1
ACAD9
ACAD9-DT
ACADL
ACAN
ACAT2
ACD
ACHE
ACIN1
ACLY
ACO2
ACOT1
ACOT12
ACOT13
ACOT2
ACOT6
ACP1
ACSF2
ACSF3
ACSL1
ACSL4
ACTA1
ACTB
ACTG1
ACTL10
ACTN2
ACTN3
ACTN4
ACTR8
ACVR1B
ACVR2A
ACYP1
ACYP2
ADAD1
ADAD2
ADAL
ADAM10
ADAM12
ADAM19
ADAM9
ADAMTS14
ADAMTS17
ADAMTS20
ADAMTS5
ADAMTSL1
ADAR
ADAT3
ADCK2
ADCK5
ADCY1
ADCY3
ADCY4
ADCY5
ADCY9
ADGRA2
ADGRB2
ADGRB3
ADGRB3-DT
ADGRD2
ADGRF3
ADGRL3
ADNP-AS1
ADO
ADORA1
ADORA2B
ADPGK
ADRA1A
ADRA1D
ADRA2A
ADRA2C
ADRB2
ADSS1
AEBP2
AFAP1L1
AFF3
AFG2B
AFG3L1P
AFG3L2
AFG3L2P1
AFTPH
AFTPH-DT
AGAP1
AGAP2
AGAP3
AGO1
AGO2
AGO4
AGPAT1
AGPS
AHDC1
AHI1
AHI1-DT
AHSA2P
AIDA
AIFM2
AIFM3
AIG1
AIMP2
AJAP1
AK5
AKAP1
AKAP1-DT
AKAP13
AKAP17A
AKAP3
AKAP5
AKAP8
AKIP1
AKIRIN2
AKR7A2
AKT1
AKT1S1
AKT2
ALAS1
ALDH1A3
ALDH3A1
ALDH4A1
ALDH5A1
ALG1
ALG11
ALG12
ALG2
ALG5
ALG6
ALK
ALKAL2
ALKBH4
ALKBH5
ALOX12B
ALYREF
AMD1
AMDHD1
AMER3
AMIGO1
AMIGO3
AMMECR1
AMZ2
AMZ2P1
ANAPC1
ANAPC10
ANAPC11
ANAPC13
ANAPC16
ANAPC2
ANAPC7
ANGPTL6
ANHX
ANK1
ANKRD10
ANKRD11
ANKRD13C
ANKRD13C-DT
ANKRD13D
ANKRD18CP
ANKRD18DP
ANKRD19P
ANKRD24
ANKRD26
ANKRD26P1
ANKRD26P3
ANKRD27
ANKRD29
ANKRD30A
ANKRD30BL
ANKRD30BP2
ANKRD31
ANKRD37
ANKRD44
ANKRD7
ANKS1B
ANKZF1
ANLN
ANO10
ANO7L1
ANTKMT
ANXA3
AOPEP
AP1M1
AP1M2
AP1S1
AP1S2
AP1S3
AP2A2
AP2M1
AP3B1
AP5S1
APBA1
APBB2
APBB3
APC
APC2
APCDD1L
APEX2
APLF
APLP1
APOA1-AS
APOM
APPL2
APRT
ARAF
ARAP1
ARAP2
ARF1
ARF4
ARF4-AS1
ARF6
ARFGAP3
ARHGAP12
ARHGAP23
ARHGAP24
ARHGAP28
ARHGAP28-AS1
ARHGAP29
ARHGAP29-AS1
ARHGAP32
ARHGAP35
ARHGAP39
ARHGAP42
ARHGAP42-AS1
ARHGAP5
ARHGAP5-AS1
ARHGDIA
ARHGEF10
ARHGEF10L
ARHGEF12
ARHGEF18
ARHGEF18-AS1
ARHGEF25
ARHGEF26
ARHGEF26-AS1
ARHGEF33
ARHGEF35
ARHGEF35-AS1
ARHGEF39
ARHGEF4
ARHGEF5
ARID1B
ARID3A
ARID4A
ARK2C
ARL10
ARL16
ARL2BP
ARL5A
ARL6IP6
ARMC10
ARMC10P1
ARMC2
ARMC3
ARMC5
ARMC6
ARMC7
ARMC8
ARMCX5-GPRASP2
ARMH4
ARPC1A
ARPC2
ARPC5
ARRB2
ARRDC1
ARRDC1-AS1
ARRDC2
ARRDC3
ARRDC3-AS1
ARSG
ARSJ
ARSK
ARV1
ASAH2B
ASAP2
ASAP3
ASB16-AS1
ASB18
ASB3
ASB8
ASCC1
ASCL2
ASDURF
ASH1L
ASIC1
ASNSD1
ASRGL1
ASTN2
ASXL1
ASXL2
ASZ1
ATAD2
ATAD3A
ATF5
ATF6B
ATF7IP
ATG16L2
ATG4B
ATG7
ATG9A
ATM
ATMIN
ATN1
ATP11A
ATP12A
ATP13A1
ATP13A2
ATP13A3-DT
ATP13A4
ATP1A3
ATP2B1
ATP2B1-AS1
ATP2B2
ATP2B3
ATP2C1
ATP5F1C
ATP5F1D
ATP5MC2
ATP5MC3
ATP5ME
ATP5MG
ATP5MJ
ATP5PO
ATP6V0D1
ATP6V0D1-DT
ATP6V0E2
ATP6V0E2-AS1
ATP6V1B2
ATP6V1D
ATP6V1E2
ATP6V1G1
ATP7B
ATP8A1
ATP8A1-DT
ATP8B1
ATP9A
ATP9B
ATPAF1
ATPAF2
ATPSCKMT
ATRN
ATRNL1
ATXN1
ATXN2
ATXN2-AS
ATXN2L
ATXN7L2
ATXN7L3
ATXN7L3B
AUH
AURKA
AUTS2
AXDND1
AZIN1
B3GALT1
B3GALT6
B3GAT1
B3GAT1-DT
B3GNTL1
B4GALNT3
B4GALNT4
B4GALT2
B4GALT5
B4GALT7
B9D1
BABAM2
BACH2
BAG1
BAG3
BAG4
BAG6
BANF1P3
BANP
BAP1
BARX1
BARX1-DT
BBOF1
BCAR1
BCAR3
BCAT2
BCCIP
BCDIN3D-AS1
BCKDHA
BCKDK
BCL11B
