"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031507","GO:0031507","heterochromatin formation","60/4141","163/18860",0.368098159509202,1.67648666707162,4.60086904969762,1.05294237915465e-05,0.00113645160232899,0.000994849006511637,"ATF7IP/BAP1/BEND3/CBX1/CBX5/CDKN2B-AS1/CDYL/CTCF/DNMT1/DYRK1A/EED/EHMT1/EHMT2/EZH1/EZH2/H1-2/H2AC11/H2AC12/H2AC13/H2AC15/H2AC17/H2AC18/H2AC19/H2AC20/H2AC25/H2AC6/H2AC8/H2AX/HMGA2/HNRNPK/HNRNPU/JARID2/L3MBTL1/MAEL/MBD1/MBD3/MECP2/MIS18A/MORC1/MOV10L1/PARTICL/PCGF3/PCGF5/PPHLN1/PPM1D/RBM15B/SIRT6/SMARCA4/SMARCA5/SMCHD1/SPEN/SPIN1/SPTY2D1/SUV39H1/TDRD5/TEX15/TRIM28/UHRF1/YTHDC1/ZNFX1",60
"GO:0051298","GO:0051298","centrosome duplication","35/4141","80/18860",0.4375,1.99257425742574,4.71881552840889,1.0838439585078e-05,0.00114997681021336,0.00100668896485132,"ARHGEF10/BRSK1/C2CD3/CCNF/CENATAC/CEP120/CEP192/CEP295/CEP44/CEP63/CEP72/CEP85/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/CNTROB/DEUP1/FBXW5/GEN1/MDM1/NAT10/NPM1/NUBP1/NUP62/PDCD6IP/PKD2/PLK4/POC1A/RBM14/SPICE1/TRIM37/VPS4B",35
"GO:0046605","GO:0046605","regulation of centrosome cycle","28/4141","59/18860",0.474576271186441,2.16143648263131,4.73918636980876,1.27313990682286e-05,0.0012884695567536,0.00112792542667887,"ATF5/AURKA/CCNF/CDK11A/CDK11B/CENATAC/CEP120/CEP295/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/FBXW5/GEN1/MDM1/NAT10/NPM1/NUBP1/NUP62/PDCD6IP/PLK4/POC1A/RBM14/SPICE1/TRIM37/VPS4B",28
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","68/4141","192/18860",0.354166666666667,1.61303630363036,4.52856603582629,1.27418631304985e-05,0.0012884695567536,0.00112792542667887,"ABRAXAS1/AKAP8/ANAPC11/ANAPC7/APC/ARHGEF10/ATM/BCCIP/BUB3/CCNB1/CCSAP/CDK1/CDT1/CENPF/CEP192/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/CUL3/EML4/FBXO5/FLNA/GEN1/HASPIN/HNRNPU/KIF11/KIF2A/KIF3B/KLHL22/KNL1/MAD1L1/MAD2L1/MIS12/MYBL2/NCAPD3/NCAPH/NIPBL/NSMCE2/NUMA1/NUP62/PRC1/RAD21/RAN/RCC1/RHOA/RMDN1/SEH1L/SKA1/SKA3/SMARCA5/SMC4/SPC24/SPDL1/SPICE1/STAG1/STAG2/TENT4A/TUBG1/TUBG2/UHRF1/VPS4B/WAPL/ZWINT",68
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","83/4141","246/18860",0.33739837398374,1.53666586170812,4.49391094178917,1.27612000828631e-05,0.0012884695567536,0.00112792542667887,"ACTB/ACVR1B/AKT1/APC/APPL2/ARID1B/BCL7A/BCL7B/BID/CACNB4/CACUL1/CCNB1/CCND1/CCND3/CCNE2/CCNF/CCNH/CCNI/CCNJL/CCNP/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN1B/CDKN2A/CDKN2C/CPSF3/CUL2/CUL3/CUL4A/DACT1/DDX3X/DPF2/E2F1/E2F7/EGFR/EIF4EBP1/EZH2/FBXO31/FBXO7/FHL1/GSPT1/ID2/INHBA/KANK2/KHDRBS1/KLF4/LSM11/MEPCE/MIR372/MYB/PIAS1/PKD1/PKD2/PLK3/PLRG1/POLE/PPP2CA/PPP6C/PRKDC/PRMT2/RBBP8/RBL2/RBX1/RCC1/SENP2/SMARCA4/SMARCB1/SMARCC1/SMARCD3/TCF3/TFDP1/TMEM14B/TRIAP1/TRIM71/UBE2E2/USP37/USP38/WAC",83
"GO:0006261","GO:0006261","DNA-templated DNA replication","62/4141","171/18860",0.362573099415205,1.65132302703955,4.53810195430429,1.31326971323701e-05,0.00130493149283551,0.00114233619500616,"ATM/BOD1L1/CAMSAP3/CCNE2/CDC34/CDC45/CDC6/CDC7/CDK1/CDK2AP1/CDT1/CHRAC1/DDX11/DNA2/DNAJA3/DYNLL1/E2F7/ENDOG/FBXO5/FZR1/GEN1/GMNN/KAT7/LIG3/LRWD1/MCM2/MCM3/MCM4/MCM6/MMS22L/MUS81/ORC6/PARP1/PCNA/POLA1/POLA2/POLD1/POLD3/POLE/POLG/POLG2/POLN/POLRMT/PRIM1/PRKDC/PURA/RBBP8/RECQL5/REV3L/RFC3/RNF126/RPA1/RTEL1/SAMHD1/SENP2/SETMAR/TIMELESS/TWNK/UPF1/WDHD1/WDR18/WRNIP1",62
"GO:0018193","GO:0018193","peptidyl-amino acid modification","125/4141","404/18860",0.309405940594059,1.40917557102245,4.4096526555417,1.4121122069365e-05,0.00138122225240977,0.00120912107718938,"ABI1/ABI2/ACVR1B/AKT1/ALK/ANTKMT/ARAF/ARL2BP/ATM/ATPSCKMT/AURKA/BAG6/BRAF/BRSK1/CDK1/CDK10/CDK5R1/CDKN2A/CEP41/CHMP6/CLIP3/CNOT9/DDR1/DIP2A/DMTN/DOK7/DYRK1A/EEF1AKMT1/EFEMP1/EGFR/EGLN2/EGR1/EHMT1/EHMT2/EPHB2/ERBB2/ERCC6/ERRFI1/ESCO1/FLT4/GADD45A/GOLGA7/HDAC4/HDAC7/HINT1/IGF1R/JAK2/JAK3/KAT7/KIT/LCK/LIF/LIPT2/LOXL3/MAP2K2/MAP4K1/MORC3/NAA60/NEK6/NMT2/NNAT/NOS2/NRG1/NSMCE2/NSMCE3/NSMCE4A/NTMT1/P4HB/PARD3/PDCL3/PFN2/PIAS1/PIAS4/PLOD3/PML/PPIA/PRKCE/PRKDC/PRKX/PTK2/PTK6/PTPN2/QPCTL/RANBP2/RASSF2/RELA/RIPK2/RNF212/ROCK1/SAE1/SENP1/SENP2/SENP3/SENP7/SETD3/SETD6/SIRT5/SMC5/SMC6/SNX6/SOCS4/SRCIN1/SRPK2/TBK1/TNK2/TOLLIP/TOP1/TPST2/TRIM27/TRIM28/TTBK2/TTLL4/TTLL6/TTLL7/UBA2/UBE2I/UBE2K/UHRF2/VEGFA/VKORC1L1/WNK3/ZDHHC12/ZDHHC14/ZDHHC9/ZFYVE28",125
"GO:0051258","GO:0051258","protein polymerization","95/4141","291/18860",0.326460481099656,1.48684971589942,4.43935576352912,1.45891761734691e-05,0.00140504988993717,0.00122997977585555,"ABITRAM/ABL1/ARF6/ARHGAP28/ARPC2/ARPC5/BAG4/BLOC1S2/CAMSAP1/CAMSAP3/CAPG/CAPZA1/CAPZA2/CARMIL2/CDC42EP3/CDC42EP4/CDK1/CDK5R1/CDKN1B/CEP192/CFL1/CHMP2A/CHMP3/CLASP1/CLIP3/CORO7/CYRIB/DAAM2/DCTN1/DMTN/DNM2/DYRK1A/EML2/EPS8/EVL/FBXO5/FKBP4/GBA2/GPX4/GRB2/GSN/HAUS3/HAUS6/HDGFL3/HSP90AA1/INF2/JAK2/KANK1/KANK2/KANK3/KIRREL1/MAPRE3/MAPT/MECP2/MLST8/MTPN/NCKAP1/NDEL1/NUMA1/PCNT/PDE4DIP/PFN1/PFN2/PINK1/PPP2CA/PRKCE/PRKN/PYCARD/RAC1/RANBP9/RASA1/SKA1/SPTAN1/SPTBN1/SPTBN2/SPTBN4/SSH1/SSH2/SSNA1/SVIL/TMOD3/TPGS1/TPGS2/TPPP/TRIM32/TUBG1/TUBG2/TUBGCP3/TUBGCP4/TUBGCP5/TUBGCP6/TWF2/UBE2K/UBE2S/WASHC5",95
"GO:0045132","GO:0045132","meiotic chromosome segregation","40/4141","97/18860",0.412371134020619,1.87812595692559,4.59900980581244,1.49619815573087e-05,0.0014191212810417,0.00124229786263714,"AGO4/ANKRD31/ATM/AURKA/BAG6/CCNE2/CHFR/EHMT2/FBXO5/HORMAD1/KASH5/KNL1/M1AP/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MND1/MSH4/MSH5/NCAPH/NDC1/PRDM9/RNF212/SIRT7/SKA1/SKA3/SMC4/SPATA22/SPO11/STAG3/SYCE1/SYCE2/SYCP2/TEX15/TUBB8/WASHC5/ZCWPW1/ZWINT",40
"GO:0032784","GO:0032784","regulation of DNA-templated transcription elongation","42/4141","104/18860",0.403846153846154,1.83929931454684,4.55235601894382,1.70658461488616e-05,0.00158681645616722,0.00138909811178856,"BRD4/CCNK/CCNT2/CDC73/EAPP/ERCC6/EZH2/GTF2F1/HMGN1/HNRNPU/INTS11/INTS13/INTS2/INTS3/INTS5/INTS7/KAT7/LARP7/LDB1/MED11/MED15/MED18/MED20/MED25/MED26/MED28/MED4/NELFA/NELFB/NELFCD/NELFE/PARP1/PPP1R10/PWWP2B/RECQL5/SETD5/SIRT6/SUPT4H1/SUPT5H/TCEA2/VHL/WDR43",42
"GO:0050807","GO:0050807","regulation of synapse organization","103/4141","322/18860",0.319875776397516,1.45685997171146,4.38583610402032,1.72369838689091e-05,0.00158681645616722,0.00138909811178856,"ABHD17C/ABI2/ABL1/ADAM10/ADGRB2/ADGRB3/AGAP1/AGO2/AKT1/AMIGO1/AMIGO3/ANAPC2/ARF4/ARF6/ARHGAP12/ARMCX5-GPRASP2/ASIC1/BDNF/C1QL1/C1QL3/CAMK2B/CAPRIN1/CARMIL3/CBLN1/CBLN2/CC2D1A/CDC42/CDK5R1/CFL1/CHD4/CHMP2B/CLSTN1/CNTNAP1/CRIPT/CRMP1/CRTAC1/CTNNA2/CUX2/DAB1/DAG1/DCTN1/DISC1/DLGAP4/DOCK1/EPHB2/EPHB3/ETV5/FARP1/FGF22/GNA13/GPRASP3/IL10RA/KIF1A/KIF5B/LINGO2/LRFN1/LRFN2/LRFN4/LRFN5/LRP8/LRRC24/LRTM2/MAPRE3/MDGA1/MEF2C/MRTFB/NAE1/NCKIPSD/NECTIN1/NEDD4/NF1/NRCAM/NRN1/NRXN2/NTRK2/PAFAH1B1/PDXP/PLXNC1/PRKCA/PUM2/RAC1/RHOA/RHOG/ROCK1/RTN4RL2/S1PR2/SENP1/SETD5/SIPA1L1/SIX4/SLIT1/SLITRK4/SRCIN1/SRGAP1/STAU2/STRN4/TANC1/TANC2/TUBB/UBE2M/VPS35/WNT7A/ZDHHC17",103
"GO:0031109","GO:0031109","microtubule polymerization or depolymerization","56/4141","153/18860",0.366013071895425,1.66699022843461,4.3937557082789,2.4635801195512e-05,0.00219288635623128,0.00191965131503953,"ABL1/APC/APC2/BBOF1/BLOC1S2/BMERB1/CAMSAP1/CAMSAP3/CCDC88C/CCSAP/CDK1/CDK5R1/CDKN1B/CEP192/CKAP2/CLASP1/CLIP3/DCTN1/DYRK1A/EML2/FBXO5/FKBP4/GBA2/HAUS3/HAUS6/HDGFL3/KIF2A/MAP1S/MAPRE2/MAPRE3/MAPT/MECP2/NDEL1/NUMA1/PCNT/PDE4DIP/PPP2CA/RAC1/RANBP9/SKA1/SKA3/SPAST/SPECC1L/SSNA1/STMND1/TAOK1/TPGS1/TPGS2/TPPP/TTBK2/TUBG1/TUBG2/TUBGCP3/TUBGCP4/TUBGCP5/TUBGCP6",56
"GO:0007422","GO:0007422","peripheral nervous system development","37/4141","89/18860",0.415730337078652,1.89342529758594,4.48107627971102,2.48713947751471e-05,0.00219288635623128,0.00191965131503953,"ADGRB2/AKT1/AKT2/ARHGEF10/CDK1/CLDN1/CNTNAP1/COL6A1/DAG1/DICER1/EGR3/ERBB2/GDNF/GRB2/GSTM3/HOXD10/HRAS/MAP2K2/NDRG1/NEFH/NF1/NGF/NRG1/NTRK2/PALS1/PARD3/PLEC/PLXNA4/PMP22/POU3F1/POU4F1/PPP3R1/RELA/RUNX3/SCN8A/SKI/SOS1",37
"GO:2000628","GO:2000628","regulation of miRNA metabolic process","37/4141","89/18860",0.415730337078652,1.89342529758594,4.48107627971102,2.48713947751471e-05,0.00219288635623128,0.00191965131503953,"BMP2/BMPR1A/EGFR/EGR1/ESR1/FOXA1/FOXO3/GATA2/HRAS/KLF4/LIN28B/MRTFB/MYB/MYCN/NCOR2/NFATC3/NFIB/NFKB1/NOTCH3/NR1H2/PAX6/POU2F1/PPARA/PPARG/QKI/RELA/SMAD4/SMAD6/SMARCA4/SREBF1/SREBF2/TEAD1/TENT2/TWIST1/VEGFA/YY1/ZNF512B",37
"GO:1901988","GO:1901988","negative regulation of cell cycle phase transition","89/4141","274/18860",0.324817518248175,1.47936691479367,4.2395832165306,3.30563951661064e-05,0.00283470532055485,0.00248149922630041,"ABRAXAS1/APBB2/APC/ATF5/ATM/BABAM2/BRD4/BRSK1/BUB3/CACNB4/CAMSAP3/CCNB1/CCND1/CDC14B/CDC45/CDC5L/CDC6/CDC73/CDK1/CDK2AP2/CDT1/CENPF/CEP63/CHFR/CLOCK/CRY1/CUL4A/DACT1/DNA2/DTL/E2F1/E2F7/ERCC6/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/GNB1L/H2AX/HASPIN/HORMAD1/INHBA/INTS3/INTS7/KANK2/KLF4/KLHL22/KNL1/MAD1L1/MAD2L1/MAP3K20/MRNIP/MUS81/NABP2/NAE1/NSUN2/PABIR1/PKD2/PKMYT1/PLK3/PPP1R10/PRKDC/PRMT2/RAD21/RAD9A/RBBP8/RBL2/SETMAR/SKA1/SKA3/SPC24/SPDL1/TAOK1/TAOK2/TELO2/TIMELESS/TPRA1/TRIAP1/TRIM39/UIMC1/WAC/ZFP36L1/ZFYVE19/ZWINT",89
"GO:0051225","GO:0051225","spindle assembly","51/4141","137/18860",0.372262773722628,1.69545421695454,4.3332515660082,3.30564677956077e-05,0.00283470532055485,0.00248149922630041,"ABRAXAS1/ARHGEF10/AURKA/BCCIP/CCSAP/CEP192/CEP63/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CLASP1/DYNC1H1/FBXO5/FLNA/GPSM2/GTF2B/HAUS3/HAUS6/HNRNPU/KASH5/KIF11/KIF2A/KIF3B/MAPRE2/MAPRE3/MLH1/MYBL2/NEK6/NUMA1/PRC1/RCC1/RHOA/RNF4/SKA1/SKA3/SPICE1/STAG1/STAG2/TUBB/TUBB8/TUBGCP3/TUBGCP4/TUBGCP5/TUBGCP6/UHRF1/VPS4B/WASHC5",51
"GO:1902410","GO:1902410","mitotic cytokinetic process","20/4141","38/18860",0.526315789473684,2.3970818134445,4.57249822830234,3.36170249897252e-05,0.00284381860048216,0.0024894769857256,"ARF1/ARF6/CEP55/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CNTROB/EXOC7/IQGAP2/MITD1/NUP62/PDCD6IP/RHOA/SPART/VPS4B/ZFYVE19",20
"GO:0006352","GO:0006352","DNA-templated transcription initiation","78/4141","234/18860",0.333333333333333,1.51815181518152,4.23036603076253,3.68633554957568e-05,0.00304280275193052,0.00266366758475707,"ARID1B/ARMC5/ATAD2/BCLAF1/BRF1/CCNH/CEBPA/CTCFL/CUL3/DPY30/EGR1/ELOB/ERCC2/ERCC6/ESR1/FOXO1/GTF2A1/GTF2A1L/GTF2B/GTF2F1/GTF2F2/GTF2H5/GTF3C1/HEY2/INTS11/INTS13/INTS15/INTS2/INTS3/INTS5/INTS7/KAT7/MAZ/MED11/MED15/MED18/MED20/MED25/MED26/MED28/MED4/MORC1/NFKB1/NFKBIZ/OGG1/PAXIP1/POLR2G/POLR2I/POLR3H/POLRMT/PPM1D/PPP2CA/PRMT3/RBM14/RBX1/SAMD1/SETX/SGF29/SIRT7/SMARCA4/SMARCA5/SMARCB1/TAF12/TAF1B/TAF4/TAF4B/TAF5/TAF6/TAF7/TAF8/TFAM/TFB1M/TWIST1/USP21/WDR5/WNT10B/XPA/ZNHIT1",78
"GO:0045143","GO:0045143","homologous chromosome segregation","30/4141","68/18860",0.441176470588235,2.00931857891671,4.42251194792033,3.71997282021228e-05,0.00304280275193052,0.00266366758475707,"AGO4/ANKRD31/ATM/BAG6/CCNE2/EHMT2/HORMAD1/KASH5/KNL1/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MND1/MSH4/MSH5/NDC1/PRDM9/RNF212/SIRT7/SPATA22/SPO11/STAG3/SYCE1/SYCE2/SYCP2/TEX15/ZCWPW1/ZWINT",30
"GO:0033045","GO:0033045","regulation of sister chromatid segregation","42/4141","107/18860",0.392523364485981,1.78773017488665,4.33417843371792,3.81755955118968e-05,0.00304280275193052,0.00266366758475707,"ACTB/ANAPC1/ANAPC11/ANAPC2/ANAPC7/APC/ARID1B/ATM/BCL7A/BCL7B/BUB3/CCNB1/CDC6/CDK1/CENPF/CHFR/CUL3/DPF2/FBXO5/GEN1/HASPIN/HECW2/HNRNPU/KLHL22/KNL1/MAD1L1/MAD2L1/MAP3K20/NEK6/NSMCE2/NUMA1/RAD21/RIOK2/SKA1/SKA3/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPC24/SPDL1/ZWINT",42
"GO:0070534","GO:0070534","protein K63-linked ubiquitination","35/4141","84/18860",0.416666666666667,1.8976897689769,4.37358098921306,3.85209694164764e-05,0.00304280275193052,0.00266366758475707,"ATM/CDKN2A/CEP63/DDX3X/DUSP22/H2AX/ITCH/NAGK/NEDD4/NOD2/PARP10/PELI3/PRKN/RIPK2/RNF126/RNF152/RNF167/RNF4/RNF5/STUB1/TRAF2/TRIM27/TRIM3/TRIM32/TRIM8/UBE2D4/UBE2E2/UBE2G1/UBE2O/UBE2S/UBE2T/UBE2V1/UBE2V2/WWP2/ZFP91",35
"GO:0031122","GO:0031122","cytoplasmic microtubule organization","29/4141","65/18860",0.446153846153846,2.03198781416603,4.42061685537833,3.8666078281483e-05,0.00304280275193052,0.00266366758475707,"CCDC88C/CEP120/CLASP1/CLIP3/CLIP4/CRIPT/DYNC1H1/FSD1/HOOK1/HOOK3/IFT172/KANK1/KATNA1/MAPT/NUMA1/PAFAH1B1/PDE4DIP/PLK3/PPFIBP1/RHOA/SLK/TBCB/TPPP/TUBG1/TUBG2/TUBGCP3/TUBGCP4/TUBGCP5/TUBGCP6",29
"GO:1902115","GO:1902115","regulation of organelle assembly","79/4141","238/18860",0.331932773109244,1.5117730260421,4.21430052335089,3.88856581716361e-05,0.00304280275193052,0.00266366758475707,"ABL1/AKT1/ARF4/ARHGAP35/ARHGEF5/ATM/ATMIN/CAPRIN1/CBLN1/CCSAP/CDK10/CEP120/CEP295/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CNOT1/CNOT6L/CNTROB/CRIPT/CROCC/DYNC1H1/DYNLT2B/EHMT2/EPHB2/FEZ1/FUZ/G3BP2/GAP43/GPSM2/GSN/HNRNPU/HSF1/IFT140/LCP1/LRFN1/LRFN4/LUZP1/MDM1/MOAP1/MPHOSPH9/NPM1/NUMA1/NUP62/ODF2/PAN2/PAN3/PDCD6IP/PHF23/PINK1/PLK4/RAB1B/RAB3GAP2/RBM14/RCC1/RHOA/RNF4/RNF5/SDC1/SEPTIN9/SMAD4/SNX4/SPICE1/SPTBN2/TAPT1/TBC1D12/TBC1D7/TRIM32/TRIM37/TTBK2/USP10/VPS4B/WDR44/WDR45/ZMYND10",79
"GO:0034243","GO:0034243","regulation of transcription elongation by RNA polymerase II","38/4141","94/18860",0.404255319148936,1.84116283968822,4.33641603972099,4.10503588434635e-05,0.00316243537997813,0.00276839391090737,"BRD4/CCNK/CCNT2/CDC73/EAPP/ERCC6/EZH2/GTF2F1/HNRNPU/INTS11/INTS13/INTS2/INTS3/INTS5/INTS7/LARP7/LDB1/MED11/MED15/MED18/MED20/MED25/MED26/MED28/MED4/NELFA/NELFB/NELFCD/NELFE/PARP1/PPP1R10/PWWP2B/RECQL5/SIRT6/SUPT4H1/SUPT5H/VHL/WDR43",38
"GO:0010824","GO:0010824","regulation of centrosome duplication","24/4141","50/18860",0.48,2.18613861386139,4.45449875122892,4.14248723894899e-05,0.00316243537997813,0.00276839391090737,"CCNF/CENATAC/CEP120/CEP295/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHORDC1/FBXW5/GEN1/MDM1/NAT10/NPM1/NUBP1/NUP62/PDCD6IP/PLK4/POC1A/RBM14/SPICE1/TRIM37/VPS4B",24
"GO:0001701","GO:0001701","in utero embryonic development","129/4141","429/18860",0.300699300699301,1.36952156754137,4.10645228543917,4.59909993546077e-05,0.0034280631169115,0.00300092426208866,"ACVR1B/ADAM10/ADCY9/AKAP3/AKT1/APBA1/ARMC5/ASCL2/B9D1/BAP1/BMP2/BMP7/BMPR1A/BNIP2/BRK1/BTF3/BYSL/C2CD3/CAMSAP3/CCN1/CCNB1/CEBPA/CELF4/CHD7/CITED1/CMIP/CMTM3/CNOT1/CTCF/CTR9/CUL3/CUL4A/DAD1/DNAJB6/E2F7/EGFR/EIF2S2/ENDOG/ERCC2/FBLL1/FKRP/FOXC1/FUT8/GATA2/GLI3/GNA13/GPI/GRB2/GSE1/HCFC1/HEY2/HM13/HORMAD1/HS6ST1/HSF1/IGF2/INPP5K/IWS1/JAG2/KDM4C/KDM8/KLF4/LEF1/LIF/LIG4/MAFF/MAFG/MATR3/MBD3/MBNL1/MDFI/MGAT1/MIB1/MYB/MYH10/NCKAP1/NCOA1/NDEL1/NOTCH1/NPAT/NR2F2/NSUN2/PALB2/PKD1/PKD2/PLK4/PLOD3/POLG2/PPP4R4/PRICKLE2/PTCH1/PTPN18/RBBP8/RIC8A/RPA1/RRP7A/RSPO3/RTCB/RTF1/SCO2/SEC24C/SEC24D/SENP2/SMAD2/SMAD4/SMARCB1/SMG9/SP3/SPINT2/SRSF1/SUV39H1/TAB1/TAF8/TBX3/TEAD4/TENT5C/TRIM28/TTLL4/TWIST1/UNK/VASH1/VASH2/VEGFA/WDTC1/XRCC2/YBX1/YTHDC1/ZFP14/ZFP36L1",129
"GO:0050803","GO:0050803","regulation of synapse structure or activity","103/4141","329/18860",0.31306990881459,1.42586295103675,4.1332452282887,4.59995689809211e-05,0.0034280631169115,0.00300092426208866,"ABHD17C/ABI2/ABL1/ADAM10/ADGRB2/ADGRB3/AGAP1/AGO2/AKT1/AMIGO1/AMIGO3/ANAPC2/ARF4/ARF6/ARHGAP12/ARMCX5-GPRASP2/ASIC1/BDNF/C1QL1/C1QL3/CAMK2B/CAPRIN1/CARMIL3/CBLN1/CBLN2/CC2D1A/CDC42/CDK5R1/CFL1/CHD4/CHMP2B/CLSTN1/CNTNAP1/CRIPT/CRMP1/CRTAC1/CTNNA2/CUX2/DAB1/DAG1/DCTN1/DISC1/DLGAP4/DOCK1/EPHB2/EPHB3/ETV5/FARP1/FGF22/GNA13/GPRASP3/IL10RA/KIF1A/KIF5B/LINGO2/LRFN1/LRFN2/LRFN4/LRFN5/LRP8/LRRC24/LRTM2/MAPRE3/MDGA1/MEF2C/MRTFB/NAE1/NCKIPSD/NECTIN1/NEDD4/NF1/NRCAM/NRN1/NRXN2/NTRK2/PAFAH1B1/PDXP/PLXNC1/PRKCA/PUM2/RAC1/RHOA/RHOG/ROCK1/RTN4RL2/S1PR2/SENP1/SETD5/SIPA1L1/SIX4/SLIT1/SLITRK4/SRCIN1/SRGAP1/STAU2/STRN4/TANC1/TANC2/TUBB/UBE2M/VPS35/WNT7A/ZDHHC17",103
"GO:1902893","GO:1902893","regulation of miRNA transcription","32/4141","75/18860",0.426666666666667,1.94323432343234,4.34127623471773,4.67075255667034e-05,0.00343987188291251,0.0030112616483004,"BMP2/BMPR1A/EGFR/EGR1/ESR1/FOXA1/FOXO3/GATA2/KLF4/MRTFB/MYB/MYCN/NCOR2/NFATC3/NFIB/NOTCH3/NR1H2/PAX6/POU2F1/PPARA/PPARG/RELA/SMAD4/SMAD6/SMARCA4/SREBF1/SREBF2/TEAD1/TWIST1/VEGFA/YY1/ZNF512B",32
"GO:0120032","GO:0120032","regulation of plasma membrane bounded cell projection assembly","71/4141","210/18860",0.338095238095238,1.53983969825554,4.17261043971409,4.832225412895e-05,0.00351741059124683,0.00307913898403077,"ABI2/ABITRAM/AKT1/ANLN/APC/ARAP1/ARF4/ARF6/ARHGAP24/ARHGAP35/ARPC2/ATMIN/ATP8B1/AUTS2/BRK1/CARMIL2/CDC42/CDC42EP3/CDC42EP4/CDK10/CEP120/CFL1/CNTROB/CROCC/DAAM2/DMTN/DPYSL3/DYNLT2B/EPHA2/EPHB2/EPS8/EPS8L2/EVL/FAM98A/FMR1/FUZ/GAP43/HRAS/HSP90AA1/IFT140/KANK1/KIT/LUZP1/MPHOSPH9/MYO10/MYO3A/NCKAP1/NDEL1/ODF2/PFN1/PFN2/PODXL/RAB3IP/RAC1/RAP1GAP/RAPGEF2/RAPGEF6/RCC2/RHOG/RHOQ/SEPTIN9/SH3YL1/STAU2/TAPT1/TBC1D7/TENM2/TRIM32/TTBK2/TWF2/WDR44/ZMYND10",71
"GO:0045787","GO:0045787","positive regulation of cell cycle","108/4141","349/18860",0.30945558739255,1.40940168515419,4.09468211806777,5.20578264082686e-05,0.0037457700381122,0.00327904469790014,"ABL1/AKT1/ANAPC11/ANAPC7/ANKRD31/ARF6/AURKA/BRD4/CCNB1/CCND1/CCND3/CCNE2/CDC14A/CDC14B/CDC25B/CDC25C/CDC42/CDC6/CDC7/CDC73/CDK1/CDK10/CEP120/CEP295/CHMP3/CPSF3/CUL3/CUL4A/DDRGK1/DDX11/DDX3X/DMRT1/DTL/DUSP3/DYNC1H1/E2F7/EDN3/EGFR/EIF4EBP1/EXOC7/EZH2/FBXO5/FNTB/FOXA1/GEN1/GPSM2/HCFC1/HNRNPU/HSF1/IGF2/KIF3B/KNL1/LEF1/LRP5/LSM11/MAD1L1/MAD2L1/MAP3K20/MEIOSIN/MEIS2/MEPCE/MIR372/NCAPD3/NCAPH/NEUROG1/NPM1/NR4A3/NSMCE2/NUMA1/NUP62/PAFAH1B1/PLK4/PLRG1/PLSCR1/POC1A/PPP1R10/PRDM9/PRKCA/PRKCE/PTK6/RAD18/RAD21/RAD51AP1/RANBP1/RCC2/RHOA/RXFP3/SKA1/SKA3/SLC6A4/SMARCD3/SMC4/SMC5/SMC6/SPAST/SRPK2/STAT5B/SVIL/TBX3/TCF3/TFDP1/TMOD3/TRIM32/UBE2E2/USP2/VPS4B/WNT10B/WNT4",108
"GO:1902749","GO:1902749","regulation of cell cycle G2/M phase transition","46/4141","122/18860",0.377049180327869,1.71725369258237,4.21564356247445,5.46610516896072e-05,0.00387960257051047,0.00339620161124559,"ABRAXAS1/ATF5/ATM/AURKA/BABAM2/BRD4/BRSK1/CCNB1/CCND1/CCNQ/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDK1/CDK10/CENPF/CHFR/DTL/FBXO5/FHL1/FOXN3/FOXO4/FZR1/INTS3/KCNH5/MARK3/MRNIP/NABP2/NAE1/NPM1/PABIR1/PAXIP1/PKMYT1/RAD21/RBBP8/RCC2/SMARCD3/TAOK1/TAOK2/TRIM39/UIMC1/VPS4B/WNT10B/ZFYVE19",46
