"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140013","GO:0140013","meiotic nuclear division","73/4141","203/18860",0.359605911330049,1.63780910110716,4.84608043310565,3.33323216216089e-06,0.000443958156066536,0.000388640686141313,"AGO4/ANKRD31/ASZ1/ATM/AURKA/BAG6/BRME1/CCNE2/CDC25B/CHFR/CKS2/DMRT1/EHMT2/ERCC4/FANCA/FBXO5/FIGNL1/FZR1/HFM1/HORMAD1/HSF1/HSF2BP/ING2/KASH5/KCTD19/KNL1/LIF/M1AP/MAEL/MAJIN/MCMDC2/MEI1/MEIOSIN/MLH1/MLH3/MND1/MOV10L1/MSH4/MSH5/MUS81/NCAPH/NDC1/PRDM9/PSMA8/RAB24/RAD21/RAD51AP1/RAD54B/RMI1/RNF212/RPL10L/SIRT7/SKA1/SKA3/SLC25A31/SLX4/SMC4/SPATA22/SPIRE2/SPO11/STAG3/SYCE1/SYCE2/SYCP2/TEX15/TOP6BL/TUBB8/UBB/WASHC5/WNT4/ZCWPW1/ZNF541/ZWINT",73
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","51/4141","128/18860",0.3984375,1.81466584158416,4.90529589853114,3.59459697127396e-06,0.000468795355003646,0.000410383154220444,"AGO1/AGO2/ATM/CAPRIN1/CNOT1/CNOT4/CNOT6L/CNOT8/CNOT9/CTIF/DCPS/DHX34/DHX9/EIF4ENIF1/EXOSC2/EXOSC5/EXOSC6/EXOSC8/FMR1/GSPT1/HBS1L/HNRNPAB/HNRNPU/LSM1/LSM4/LSM7/MLH1/NBAS/PABPC1/PAN2/PAN3/PARN/PATL1/PDE12/PNRC1/POLR2G/RNPS1/SKIC2/SKIC3/SMG6/SMG7/SMG9/SYNCRIP/TENT2/TENT4A/TNRC6B/TNRC6C/UPF1/UPF2/YBX1/ZFP36L1",51
"GO:0040029","GO:0040029","epigenetic regulation of gene expression","101/4141","305/18860",0.331147540983607,1.50819672131148,4.74596020157436,3.98424807528812e-06,0.000501190394359017,0.00043874175097243,"ALKBH4/ARID1B/ARID4A/ATAD2/ATF7IP/BAP1/BEND3/CBX1/CBX5/CDKN2B-AS1/CDYL/CTCF/CTCFL/CTR9/DNMT1/DPY30/DYRK1A/EED/EGR1/EHMT1/EHMT2/EPC1/EZH1/EZH2/GLMN/H1-2/H2AC11/H2AC12/H2AC13/H2AC15/H2AC17/H2AC18/H2AC19/H2AC20/H2AC25/H2AC6/H2AC8/H2AX/H3C12/HDAC4/HDAC5/HDAC7/HMGA2/HNRNPK/HNRNPU/IGF2/ING2/JARID2/KAT7/L3MBTL1/LHX2/MAEL/MBD1/MBD3/MCRIP1/MECP2/MIS18A/MORC1/MOV10L1/MYCN/NDN/OGG1/PARTICL/PCGF3/PCGF5/PCID2/PPHLN1/PPM1D/PRMT3/RBM14/RBM15B/SAMD1/SGF29/SIRT6/SIRT7/SMARCA4/SMARCA5/SMARCB1/SMCHD1/SPEN/SPIN1/SPTY2D1/STPG4/SUV39H1/SUV39H2/TASOR2/TDG/TDRD5/TEX15/TRIM27/TRIM28/TRIM37/UHRF1/UHRF2/USP21/WDR5/YTHDC1/ZCWPW1/ZNF445/ZNFX1/ZNHIT1",101
"GO:0051054","GO:0051054","positive regulation of DNA metabolic process","95/4141","283/18860",0.335689045936396,1.52888080327467,4.75484127326229,4.00311816580684e-06,0.000501190394359017,0.00043874175097243,"ABRAXAS1/ACD/ACTB/ACTR8/AKT1/ANKRD31/ARID1B/ATM/BABAM2/BCL7A/BCL7B/CCT3/CCT5/CDC7/CDK1/CDKN1B/CDT1/CHTF18/CHTF8/DDX11/DHX9/DKC1/DNA2/DPF2/E2F7/EGFR/ENDOG/EPC1/EPC2/ERCC2/ERCC6/EXOSC6/FUS/H2AX/HNRNPA1/HSF1/HSP90AA1/INO80C/INO80E/KAT7/KCTD13/KLF4/KMT5C/MAP2K7/MBTD1/MEAF6/MLH1/MORF4L1/MRGBP/MRNIP/NABP2/NAF1/PARN/PARP1/PARP3/PAXIP1/PCNA/PIAS4/PKIB/PML/PMS2/POLG2/PPP1R10/PRDM9/PRKDC/PTGES3/PTK6/RAD51AP1/RFC3/RNF126/RTEL1/RUVBL1/SETMAR/SHLD2/SIRT6/SLX4/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMCHD1/SPIRE2/TFRC/TIGAR/TIMELESS/TNKS2/TRIM28/UBE2V2/UIMC1/USP1/VEGFA/YEATS4/YY1/ZCWPW1",95
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","68/4141","187/18860",0.363636363636364,1.65616561656166,4.78299599147123,4.58445994608282e-06,0.000562719985538794,0.000492604715775174,"ABRAXAS1/APC/ATM/BABAM2/BRD4/BRSK1/BUB3/CAMSAP3/CCNB1/CCND1/CDC14B/CDC45/CDC5L/CDC6/CDK1/CDT1/CENPF/CEP63/CHFR/CLOCK/CRY1/CUL4A/DNA2/DTL/E2F1/ERCC6/FBXO31/FOXN3/FOXO4/FZR1/GEN1/GNB1L/H2AX/HASPIN/HORMAD1/INTS3/INTS7/KLHL22/KNL1/MAD1L1/MAD2L1/MAP3K20/MRNIP/MUS81/NABP2/NAE1/NSUN2/PABIR1/PLK3/PPP1R10/PRKDC/RAD9A/RBBP8/SETMAR/SKA1/SKA3/SPC24/SPDL1/TAOK1/TAOK2/TELO2/TIMELESS/TRIAP1/TRIM39/UIMC1/WAC/ZFYVE19/ZWINT",68
"GO:0007129","GO:0007129","homologous chromosome pairing at meiosis","27/4141","54/18860",0.5,2.27722772277228,4.98528272931584,5.28723219609089e-06,0.000636501414375557,0.000557192931434194,"AGO4/ANKRD31/BAG6/CCNE2/EHMT2/HORMAD1/KASH5/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MND1/MSH4/MSH5/NDC1/PRDM9/RNF212/SIRT7/SPATA22/SPO11/STAG3/SYCE1/SYCE2/SYCP2/TEX15/ZCWPW1",27
"GO:0010948","GO:0010948","negative regulation of cell cycle process","104/4141","318/18860",0.327044025157233,1.48950744131017,4.66946756064757,5.38950111630944e-06,0.00063657126392636,0.000557254077686335,"ABRAXAS1/APBB2/APC/ATF5/ATM/BABAM2/BMP7/BRD4/BRSK1/BUB3/CACNB4/CAMSAP3/CCNB1/CCND1/CCNF/CDC14B/CDC45/CDC5L/CDC6/CDC73/CDK1/CDK2AP2/CDT1/CENATAC/CENPF/CEP63/CHFR/CHMP2A/CLOCK/CRY1/CUL4A/DACT1/DMRT1/DNA2/DTL/DUX4/E2F1/E2F7/ERCC6/EZH2/FBXO31/FBXO5/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/GNB1L/H2AX/HASPIN/HORMAD1/INHBA/INTS3/INTS7/KANK2/KLF4/KLHL22/KNL1/LIF/MAD1L1/MAD2L1/MAP3K20/MDM1/MRNIP/MUS81/NABP2/NAE1/NPM1/NSUN2/NUBP1/PABIR1/PKD2/PKMYT1/PLK3/PPP1R10/PRKDC/PRMT2/RAD21/RAD9A/RBBP8/RBL2/RBM14/SETMAR/SKA1/SKA3/SMARCA5/SPC24/SPDL1/TAOK1/TAOK2/TELO2/TIMELESS/TPRA1/TRIAP1/TRIM37/TRIM39/UIMC1/WAC/WAPL/ZFP36L1/ZFYVE19/ZNHIT1/ZWINT",104
"GO:0070192","GO:0070192","chromosome organization involved in meiotic cell cycle","31/4141","66/18860",0.46969696969697,2.13921392139214,4.91745543593533,5.80880264874039e-06,0.000673390825576201,0.000589485898427729,"AGO4/ANKRD31/ATM/BAG6/CCNE2/EHMT2/HORMAD1/KASH5/MAEL/MAJIN/MCMDC2/MLH1/MLH3/MND1/MSH4/MSH5/NCAPD3/NCAPH/NDC1/PRDM9/RNF212/SIRT7/SMC4/SPATA22/SPO11/STAG3/SYCE1/SYCE2/SYCP2/TEX15/ZCWPW1",31
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","47/4141","117/18860",0.401709401709402,1.82956757214183,4.77417064661552,6.5625870625273e-06,0.00074694172748038,0.000653872310957266,"ACIN1/C1QBP/CELF4/CIRBP/DAZAP1/DYRK1A/FMR1/HNRNPA1/HNRNPK/HNRNPL/HNRNPU/KHDRBS1/KHDRBS3/LARP7/NCL/NOVA1/NPM1/PTBP1/QKI/RBFOX1/RBM10/RBM14/RBM15B/RBM19/RBM23/RBM42/RBMX/RNPS1/SAP18/SNRNP70/SNW1/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF2/SRSF4/SRSF5/SRSF6/SRSF9/TIA1/TRA2A/U2AF2/UPF1/WTAP/YTHDC1",47
"GO:0006284","GO:0006284","base-excision repair","26/4141","52/18860",0.5,2.27722772277228,4.89183154349971,7.87336330996875e-06,0.000864688672287796,0.000756947911204013,"APEX2/CUL4A/DCAF1/DNA2/ERCC6/HMGA1/HMGA2/LIG3/LIG4/MBD4/MPG/NEIL2/NEIL3/OGG1/PARP1/PARP2/PCNA/POLD1/POLE/POLG/RBX1/RPA1/SIRT6/TDG/XPA/XRCC1",26
"GO:0032506","GO:0032506","cytokinetic process","26/4141","52/18860",0.5,2.27722772277228,4.89183154349971,7.87336330996875e-06,0.000864688672287796,0.000756947911204013,"ALKBH4/ANLN/ARF1/ARF6/CEP55/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP6/CHMP7/CNTROB/EXOC7/IQGAP2/LUZP1/MITD1/NUP62/PDCD6IP/PLEC/RHOA/SPART/SPAST/SPIRE2/VPS4B/ZFYVE19",26
